id,name,partOf,locationType
1,ABIM OFFICE,Location/UG6701401,CRVS_OFFICE
2,ADJUMANI OFFICE,Location/UG540981,CRVS_OFFICE
3,AGAGO OFFICE,Location/UG611111115,CRVS_OFFICE
4,ALEBTONG OFFICE,Location/UG6881602,CRVS_OFFICE
5,AMOLATAR OFFICE,Location/UG6571235,CRVS_OFFICE
6,AMUDAT OFFICE,Location/UG6811534,CRVS_OFFICE
7,AMURIA OFFICE,Location/UG6581247,CRVS_OFFICE
8,AMURU OFFICE,Location/UG5711415,CRVS_OFFICE
9,APAC OFFICE,Location/UG512512,CRVS_OFFICE
10,ARUA OFFICE,Location/UG5241,CRVS_OFFICE
11,BUDAKA OFFICE,Location/UG4721438,CRVS_OFFICE
12,BUDUDA OFFICE,Location/UG4781508,CRVS_OFFICE
13,BUGIRI OFFICE,Location/UG4412551,CRVS_OFFICE
14,BUGWERI OFFICE,Location/UG4123205,CRVS_OFFICE
15,BUHWEJU OFFICE,Location/UG2109108,CRVS_OFFICE
16,BUIKWE OFFICE,Location/UG1821546,CRVS_OFFICE
17,BUKEDEA OFFICE,Location/UG6791516,CRVS_OFFICE
18,BUKOMANSIMBI OFFICE,Location/UG298585,CRVS_OFFICE
19,BUKWO OFFICE,Location/UG4591265,CRVS_OFFICE
20,BULAMBULI OFFICE,Location/UG4891618,CRVS_OFFICE
21,BULIISA OFFICE,Location/UG3731443,CRVS_OFFICE
22,BUNDIBUGYO OFFICE,Location/UG3393,CRVS_OFFICE
23,BUNYANGABU OFFICE,Location/UG3117299,CRVS_OFFICE
24,BUSHENYI OFFICE,Location/UG241811,CRVS_OFFICE
25,BUSIA OFFICE,Location/UG4421821,CRVS_OFFICE
26,BUTALEJA OFFICE,Location/UG4601278,CRVS_OFFICE
27,BUTAMBALA OFFICE,Location/UG199744,CRVS_OFFICE
28,BUTEBO OFFICE,Location/UG4118854,CRVS_OFFICE
29,BUVUMA OFFICE,Location/UG1901625,CRVS_OFFICE
30,BUYENDE OFFICE,Location/UG4831556,CRVS_OFFICE
31,DOKOLO OFFICE,Location/UG6742086,CRVS_OFFICE
32,GOMBA OFFICE,Location/UG1911635,CRVS_OFFICE
33,GULU OFFICE,Location/UG55161,CRVS_OFFICE
34,HOIMA OFFICE,Location/UG361834,CRVS_OFFICE
35,IBANDA OFFICE,Location/UG3612533,CRVS_OFFICE
36,IGANGA OFFICE,Location/UG471841,CRVS_OFFICE
37,ISINGIRO OFFICE,Location/UG2621306,CRVS_OFFICE
38,JINJA OFFICE,Location/UG48231,CRVS_OFFICE
39,KAABONG OFFICE,Location/UG6631312,CRVS_OFFICE
40,KABALE OFFICE,Location/UG29251,CRVS_OFFICE
41,KABAROLE OFFICE,Location/UG310312,CRVS_OFFICE
42,KABERAMAIDO OFFICE,Location/UG6541185,CRVS_OFFICE
43,KAGADI OFFICE,Location/UG3113469,CRVS_OFFICE
44,KAKUMIRO OFFICE,Location/UG3114454,CRVS_OFFICE
45,KALAKI OFFICE,Location/UG61291197,CRVS_OFFICE
46,KALANGALA OFFICE,Location/UG211322,CRVS_OFFICE
47,KALIRO OFFICE,Location/UG4641326,CRVS_OFFICE
48,KALUNGU OFFICE,Location/UG2100604,CRVS_OFFICE
49,KAMPALA CENTRAL DIVISION OFFICE,Location/UG112341,CRVS_OFFICE
50,KAMPALA RUBAGA DIVISION OFFICE,Location/UG112381,CRVS_OFFICE
51,KAMPALA MAKINDYE DIVISION OFFICE,Location/UG112361,CRVS_OFFICE
52,KAMPALA NAKAWA DIVISION OFFICE,Location/UG112371,CRVS_OFFICE
53,KAMPALA KAWEMPE DIVISION OFFICE,Location/UG112351,CRVS_OFFICE
54,KAMULI OFFICE,Location/UG4132382,CRVS_OFFICE
55,KAMWENGE OFFICE,Location/UG3461055,CRVS_OFFICE
56,KANUNGU OFFICE,Location/UG2551206,CRVS_OFFICE
57,KAPCHORWA OFFICE,Location/UG4142391,CRVS_OFFICE
58,KAPELEBYONG OFFICE,Location/UG61241252,CRVS_OFFICE
59,KARENGA OFFICE,Location/UG61301938,CRVS_OFFICE
60,KASESE OFFICE,Location/UG3151852,CRVS_OFFICE
61,KASSANDA OFFICE,Location/UG3125775,CRVS_OFFICE
62,KATAKWI OFFICE,Location/UG6431013,CRVS_OFFICE
63,KAYUNGA OFFICE,Location/UG1471083,CRVS_OFFICE
64,KAZO OFFICE,Location/UG21311338,CRVS_OFFICE
65,KIBAALE OFFICE,Location/UG316472,CRVS_OFFICE
66,KIBOGA OFFICE,Location/UG317485,CRVS_OFFICE
67,KIBUKU OFFICE,Location/UG410221210,CRVS_OFFICE
68,KIKUUBE OFFICE,Location/UG3126196,CRVS_OFFICE
69,KIRUHURA OFFICE,Location/UG2651348,CRVS_OFFICE
70,KIRYANDONGO OFFICE,Location/UG3922197,CRVS_OFFICE
71,KISORO OFFICE,Location/UG2182413,CRVS_OFFICE
72,KITAGWENDA OFFICE,Location/UG31321067,CRVS_OFFICE
73,KITGUM OFFICE,Location/UG5192422,CRVS_OFFICE
74,KOBOKO OFFICE,Location/UG5662431,CRVS_OFFICE
75,KOLE OFFICE,Location/UG510316,CRVS_OFFICE
76,KOTIDO OFFICE,Location/UG6202561,CRVS_OFFICE
77,KUMI OFFICE,Location/UG6212442,CRVS_OFFICE
78,KWANIA OFFICE,Location/UG512726,CRVS_OFFICE
79,KWEEN OFFICE,Location/UG41044111,CRVS_OFFICE
80,KYANKWANZI OFFICE,Location/UG3932049,CRVS_OFFICE
81,KYEGEGWA OFFICE,Location/UG3841568,CRVS_OFFICE
82,KYENJOJO OFFICE,Location/UG3481094,CRVS_OFFICE
83,KYOTERA OFFICE,Location/UG2119905,CRVS_OFFICE
84,LAMWO OFFICE,Location/UG58515711,CRVS_OFFICE
85,LIRA OFFICE,Location/UG522542,CRVS_OFFICE
86,LUUKA OFFICE,Location/UG4941668,CRVS_OFFICE
87,LUWEERO OFFICE,Location/UG123575,CRVS_OFFICE
88,LWENGO OFFICE,Location/UG21051713,CRVS_OFFICE
89,LYANTONDE OFFICE,Location/UG2801525,CRVS_OFFICE
90,MADI-OKOLLO OFFICE,Location/UG513366,CRVS_OFFICE
91,MANAFWA OFFICE,Location/UG4671366,CRVS_OFFICE
92,MARACHA OFFICE,Location/UG5772288,CRVS_OFFICE
93,MASAKA OFFICE,Location/UG224613,CRVS_OFFICE
94,MASINDI OFFICE,Location/UG3251863,CRVS_OFFICE
95,MAYUGE OFFICE,Location/UG4491103,CRVS_OFFICE
96,MBALE OFFICE,Location/UG426652,CRVS_OFFICE
97,MBARARA OFFICE,Location/UG227665,CRVS_OFFICE
98,MITOOMA OFFICE,Location/UG21061312,CRVS_OFFICE
99,MITYANA OFFICE,Location/UG3682471,CRVS_OFFICE
100,MOROTO OFFICE,Location/UG628711,CRVS_OFFICE
101,MOYO OFFICE,Location/UG529735,CRVS_OFFICE
102,MPIGI OFFICE,Location/UG130754,CRVS_OFFICE
103,MUBENDE OFFICE,Location/UG3312482,CRVS_OFFICE
104,MUKONO OFFICE,Location/UG1321873,CRVS_OFFICE
105,NABILATUK OFFICE,Location/UG61281223,CRVS_OFFICE
106,NAKAPIRIPIRIT OFFICE,Location/UG6561213,CRVS_OFFICE
107,NAKASEKE OFFICE,Location/UG16917812,CRVS_OFFICE
108,NAKASONGOLA OFFICE,Location/UG1441026,CRVS_OFFICE
109,NAMAYINGO OFFICE,Location/UG4951677,CRVS_OFFICE
110,NAMISINDWA OFFICE,Location/UG412025716,CRVS_OFFICE
111,NAMUTUMBA OFFICE,Location/UG4751467,CRVS_OFFICE
112,NAPAK OFFICE,Location/UG6107698,CRVS_OFFICE
113,NEBBI OFFICE,Location/UG5332522,CRVS_OFFICE
114,NGORA OFFICE,Location/UG6108535,CRVS_OFFICE
115,NTOROKO OFFICE,Location/UG3961689,CRVS_OFFICE
116,NTUNGAMO OFFICE,Location/UG2341882,CRVS_OFFICE
117,NWOYA OFFICE,Location/UG51101425,CRVS_OFFICE
118,OBONGI OFFICE,Location/UG5134724,CRVS_OFFICE
119,OMORO OFFICE,Location/UG5115177,CRVS_OFFICE
120,OTUKE OFFICE,Location/UG686556,CRVS_OFFICE
121,OYAM OFFICE,Location/UG5761477,CRVS_OFFICE
122,PADER OFFICE,Location/UG5501128,CRVS_OFFICE
123,PAKWACH OFFICE,Location/UG5121802,CRVS_OFFICE
124,PALLISA OFFICE,Location/UG435877,CRVS_OFFICE
125,RAKAI OFFICE,Location/UG236898,CRVS_OFFICE
126,RUBANDA OFFICE,Location/UG2116275,CRVS_OFFICE
127,RUBIRIZI OFFICE,Location/UG2112113,CRVS_OFFICE
128,RUKIGA OFFICE,Location/UG2122286,CRVS_OFFICE
129,RUKUNGIRI OFFICE,Location/UG2371891,CRVS_OFFICE
130,RWAMPARA OFFICE,Location/UG2135684,CRVS_OFFICE
131,SERERE OFFICE,Location/UG6971705,CRVS_OFFICE
132,SHEEMA OFFICE,Location/UG21012541,CRVS_OFFICE
133,SIRONKO OFFICE,Location/UG4511138,CRVS_OFFICE
134,SOROTI OFFICE,Location/UG638942,CRVS_OFFICE
135,SSEMBABULE OFFICE,Location/UG2452295,CRVS_OFFICE
136,TORORO OFFICE,Location/UG439961,CRVS_OFFICE
137,WAKISO NALUVULE OFFICE,Location/UG1521143,CRVS_OFFICE
138,WAKISO MPALA OFFICE,Location/UG1522463,CRVS_OFFICE
139,WAKISO KIRA OFFICE,Location/UG1522401,CRVS_OFFICE
140,YUMBE OFFICE,Location/UG5531177,CRVS_OFFICE
141,ZOMBO OFFICE,Location/UG5871595,CRVS_OFFICE
