admin4Name_en,admin4Pcode,admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode
KAMPALA CENTRAL,UG112341,KAMPALA CENTRAL DIVISION,UG11234,KAMPALA,UG112,CENTRAL,UG1,Uganda,UG
MAKERERE UNIVERSITY,UG112352,KAWEMPE DIVISION,UG11235,KAMPALA,UG112,CENTRAL,UG1,Uganda,UG
KAWEMPE DIVISION,UG112351,KAWEMPE DIVISION,UG11235,KAMPALA,UG112,CENTRAL,UG1,Uganda,UG
MAKINDYE DIVISION,UG112361,MAKINDYE DIVISION,UG11236,KAMPALA,UG112,CENTRAL,UG1,Uganda,UG
NAKAWA,UG112371,NAKAWA DIVISION,UG11237,KAMPALA,UG112,CENTRAL,UG1,Uganda,UG
RUBAGA DIVISION,UG112381,RUBAGA DIVISION,UG11238,KAMPALA,UG112,CENTRAL,UG1,Uganda,UG
BUIKWE,UG1821541,BUIKWE,UG182154,BUIKWE,UG182,CENTRAL,UG1,Uganda,UG
BUIKWE TOWN COUNCIL,UG1821546,BUIKWE,UG182154,BUIKWE,UG182,CENTRAL,UG1,Uganda,UG
KIYINDI TOWN COUNCIL,UG1821547,BUIKWE,UG182154,BUIKWE,UG182,CENTRAL,UG1,Uganda,UG
NAJJA,UG1821542,BUIKWE,UG182154,BUIKWE,UG182,CENTRAL,UG1,Uganda,UG
NGOGWE,UG1821543,BUIKWE,UG182154,BUIKWE,UG182,CENTRAL,UG1,Uganda,UG
NKOKONJERU TOWN COUNCIL,UG1821544,BUIKWE,UG182154,BUIKWE,UG182,CENTRAL,UG1,Uganda,UG
SSI,UG1821545,BUIKWE,UG182154,BUIKWE,UG182,CENTRAL,UG1,Uganda,UG
NAJJEMBE DIVISION,UG1822453,LUGAZI MUNICIPALITY,UG182245,BUIKWE,UG182,CENTRAL,UG1,Uganda,UG
CENTRAL DIVISION,UG1822452,LUGAZI MUNICIPALITY,UG182245,BUIKWE,UG182,CENTRAL,UG1,Uganda,UG
KAWOLO DIVISION,UG1822451,LUGAZI MUNICIPALITY,UG182245,BUIKWE,UG182,CENTRAL,UG1,Uganda,UG
NJERU DIVISION,UG1822501,NJERU MUNICIPALITY,UG182250,BUIKWE,UG182,CENTRAL,UG1,Uganda,UG
NYENGA DIVISION,UG1822502,NJERU MUNICIPALITY,UG182250,BUIKWE,UG182,CENTRAL,UG1,Uganda,UG
WAKISI DIVISION,UG1822503,NJERU MUNICIPALITY,UG182250,BUIKWE,UG182,CENTRAL,UG1,Uganda,UG
KIBIBI TOWN COUNCIL,UG199744,BUTAMBALA,UG19974,BUTAMBALA,UG199,CENTRAL,UG1,Uganda,UG
BUDDE,UG199741,BUTAMBALA,UG19974,BUTAMBALA,UG199,CENTRAL,UG1,Uganda,UG
