adminPcode,name,male_population_2015,female_population_2015,population_2015,crude_birth_rate_2015,male_population_2016,female_population_2016,population_2016,crude_birth_rate_2016,male_population_2017,female_population_2017,population_2017,crude_birth_rate_2017,male_population_2018,female_population_2018,population_2018,crude_birth_rate_2018,male_population_2019,female_population_2019,population_2019,crude_birth_rate_2019,male_population_2020,female_population_2020,population_2020,crude_birth_rate_2020,male_population_2021,female_population_2021,population_2021,crude_birth_rate_2021,male_population_2022,female_population_2022,population_2022,crude_birth_rate_2022,male_population_2023,female_population_2023,population_2023,crude_birth_rate_2023,male_population_2024,female_population_2024,population_2024,crude_birth_rate_2024
UG670,ABIM,"55,200","58,200","113,400",40.2,"58,900","61,800","120,700",39.7,"62,700","65,500","128,200",39.3,"66,700","69,500","136,200",38.7,"71,000","73,600","144,600",38.2,"75,500","78,000","153,500",37.7,"80,300","82,600","162,900",37.2,"85,300","87,300","172,600",36.7,"90,500","92,300","182,800",36.1,"96,000","97,600","193,600",35.5
UG540,ADJUMANI,"108,800","117,700","226,500",40.2,"109,700","118,900","228,600",39.7,"110,500","120,000","230,500",39.3,"111,200","121,200","232,400",38.7,"112,000","122,300","234,300",38.2,"112,600","123,300","235,900",37.7,"113,200","124,200","237,400",37.2,"113,700","125,100","238,800",36.7,"114,100","125,900","240,000",36.1,"114,500","126,700","241,200",35.5
UG6111,AGAGO,"112,000","118,800","230,800",40.2,"114,000","120,900","234,900",39.7,"116,000","123,000","239,000",39.3,"118,000","125,200","243,200",38.7,"119,900","127,300","247,200",38.2,"121,900","129,300","251,200",37.7,"123,700","131,300","255,000",37.2,"125,500","133,300","258,800",36.7,"127,300","135,200","262,500",36.1,"129,000","137,000","266,000",35.5
UG688,ALEBTONG,"113,500","118,900","232,400",40.2,"116,900","122,100","239,000",39.7,"120,300","125,400","245,700",39.3,"123,700","128,700","252,400",38.7,"127,200","132,000","259,200",38.2,"130,700","135,400","266,100",37.7,"134,100","138,700","272,800",37.2,"137,600","142,000","279,600",36.7,"141,100","145,300","286,400",36.1,"144,600","148,600","293,200",35.5
UG657,AMOLATAR,"74,600","75,500","150,100",40.2,"76,600","77,400","154,000",39.7,"78,700","79,300","158,000",39.3,"80,800","81,200","162,000",38.7,"82,900","83,100","166,000",38.2,"85,100","85,000","170,100",37.7,"87,200","86,800","174,000",37.2,"89,300","88,700","178,000",36.7,"91,400","90,600","182,000",36.1,"93,500","92,400","185,900",35.5
UG681,AMUDAT,"56,000","53,400","109,400",40.2,"58,300","55,900","114,200",39.7,"60,600","58,500","119,100",39.3,"63,100","61,200","124,300",38.7,"65,500","63,900","129,400",38.2,"68,100","66,800","134,900",37.7,"70,700","69,700","140,400",37.2,"73,300","72,800","146,100",36.7,"76,000","75,900","151,900",36.1,"78,700","79,100","157,800",35.5
UG658,AMURIA,"92,200","96,400","188,600",40.2,"95,800","99,800","195,600",39.7,"99,400","103,200","202,600",39.3,"103,200","106,800","210,000",38.7,"107,100","110,400","217,500",38.2,"111,000","114,000","225,000",37.7,"115,100","117,700","232,800",37.2,"119,100","121,400","240,500",36.7,"123,300","125,200","248,500",36.1,"127,400","129,000","256,400",35.5
UG571,AMURU,"93,200","97,300","190,500",40.2,"95,800","99,900","195,700",39.7,"98,400","102,500","200,900",39.3,"101,000","105,100","206,100",38.7,"103,600","107,800","211,400",38.2,"106,300","110,500","216,800",37.7,"108,900","113,100","222,000",37.2,"111,500","115,800","227,300",36.7,"114,100","118,400","232,500",36.1,"116,700","121,000","237,700",35.5
UG51,APAC,"94,000","96,500","190,500",40.2,"97,500","99,900","197,400",39.7,"101,100","103,400","204,500",39.3,"104,800","106,900","211,700",38.7,"108,500","110,500","219,000",38.2,"112,400","114,200","226,600",37.7,"116,200","117,900","234,100",37.2,"120,200","121,700","241,900",36.7,"124,100","125,500","249,600",36.1,"128,100","129,400","257,500",35.5
UG52,ARUA,"65,500","70,900","136,400",40.2,"67,400","73,000","140,400",39.7,"69,300","74,900","144,200",39.3,"71,300","76,900","148,200",38.7,"73,400","78,900","152,300",38.2,"75,400","80,900","156,300",37.7,"77,300","83,000","160,300",37.2,"79,400","85,000","164,400",36.7,"81,400","87,000","168,400",36.1,"83,300","89,000","172,300",35.5
UG472,BUDAKA,"103,600","109,800","213,400",40.2,"107,400","113,500","220,900",39.7,"111,400","117,300","228,700",39.3,"115,500","121,200","236,700",38.7,"119,600","125,200","244,800",38.2,"123,800","129,300","253,100",37.7,"128,100","133,300","261,400",37.2,"132,500","137,500","270,000",36.7,"136,900","141,700","278,600",36.1,"141,300","145,800","287,100",35.5
UG478,BUDUDA,"109,800","108,000","217,800",40.2,"114,900","112,900","227,800",39.7,"120,200","117,900","238,100",39.3,"125,700","123,100","248,800",38.7,"131,400","128,400","259,800",38.2,"137,200","133,900","271,100",37.7,"143,300","139,600","282,900",37.2,"149,400","145,400","294,800",36.7,"155,800","151,400","307,200",36.1,"162,300","157,500","319,800",35.5
